epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4578.49,0.32348,0.24609,0.81286,0.93675,0.87114,0.92956,0.73782,0.72554,0.47057,1.07619,0.00079705,0.00079705,0.00079705
43,4686.12,0.30781,0.2335,0.80682,0.91423,0.89778,0.93293,0.7574,0.7117,0.46189,1.05785,0.0007921,0.0007921,0.0007921
44,4792.81,0.30613,0.23309,0.80631,0.93165,0.86313,0.92242,0.73974,0.72788,0.48864,1.07032,0.00078715,0.00078715,0.00078715
45,4899.11,0.29937,0.23052,0.80453,0.90498,0.87013,0.91486,0.73791,0.73482,0.48783,1.07007,0.0007822,0.0007822,0.0007822
46,5006.05,0.28637,0.22244,0.80047,0.93575,0.88609,0.93134,0.7545,0.71117,0.47256,1.05018,0.00077725,0.00077725,0.00077725
47,5112.91,0.28277,0.21663,0.79719,0.94049,0.88211,0.93491,0.75285,0.7174,0.45491,1.06196,0.0007723,0.0007723,0.0007723
48,5220.25,0.28156,0.21581,0.79679,0.95097,0.87602,0.92855,0.75555,0.71398,0.44866,1.0715,0.00076735,0.00076735,0.00076735
49,5327.18,0.27862,0.21567,0.79693,0.94299,0.8701,0.93256,0.75404,0.71558,0.45379,1.06945,0.0007624,0.0007624,0.0007624
50,5434.95,0.27324,0.20901,0.79623,0.9367,0.88219,0.93448,0.76779,0.696,0.44298,1.046,0.00075745,0.00075745,0.00075745
51,5543.75,0.2722,0.20527,0.79448,0.94241,0.88035,0.93241,0.768,0.6985,0.45492,1.05474,0.0007525,0.0007525,0.0007525
52,5652.25,0.26315,0.20216,0.79324,0.94065,0.88136,0.93125,0.76561,0.70898,0.44341,1.06459,0.00074755,0.00074755,0.00074755
53,5759.51,0.25802,0.20064,0.79036,0.96286,0.87546,0.93726,0.77164,0.68847,0.43789,1.04941,0.0007426,0.0007426,0.0007426
54,5865.56,0.25886,0.20053,0.79256,0.92937,0.8786,0.92164,0.75444,0.7032,0.45825,1.05308,0.00073765,0.00073765,0.00073765
55,5972.72,0.25548,0.19913,0.7907,0.93526,0.87934,0.92761,0.75559,0.69764,0.4425,1.07749,0.0007327,0.0007327,0.0007327
56,6084.58,0.24763,0.1953,0.78942,0.94213,0.8716,0.92809,0.76267,0.68766,0.46317,1.05863,0.00072775,0.00072775,0.00072775
57,6192.18,0.24516,0.19255,0.78764,0.95419,0.86475,0.93288,0.7621,0.71963,0.44505,1.08532,0.0007228,0.0007228,0.0007228
58,6297.68,0.23791,0.18857,0.78585,0.94173,0.87409,0.93198,0.76138,0.69426,0.41962,1.06906,0.00071785,0.00071785,0.00071785
59,6405.44,0.23777,0.18868,0.78483,0.94497,0.88522,0.93874,0.76686,0.70956,0.43729,1.08008,0.0007129,0.0007129,0.0007129
60,6513.26,0.23357,0.18704,0.78384,0.93146,0.87795,0.93777,0.7732,0.69587,0.42551,1.06283,0.00070795,0.00070795,0.00070795
61,6620.84,0.23143,0.18811,0.78287,0.93481,0.90354,0.94439,0.76824,0.69928,0.43564,1.06927,0.000703,0.000703,0.000703
62,6727.43,0.22098,0.18269,0.78255,0.93786,0.89464,0.94075,0.77788,0.6798,0.42502,1.05249,0.00069805,0.00069805,0.00069805
63,6836.08,0.22751,0.18705,0.78179,0.94159,0.86858,0.93476,0.76269,0.69401,0.457,1.06817,0.0006931,0.0006931,0.0006931
64,6942.77,0.22281,0.18573,0.78244,0.93182,0.88622,0.93255,0.77259,0.68023,0.43655,1.05608,0.00068815,0.00068815,0.00068815
65,7049.94,0.21727,0.17932,0.7809,0.9342,0.87123,0.92878,0.76681,0.69133,0.43987,1.06233,0.0006832,0.0006832,0.0006832
66,7158.17,0.21532,0.17849,0.78036,0.93754,0.88108,0.93099,0.77924,0.67251,0.43055,1.04781,0.00067825,0.00067825,0.00067825
67,7267.13,0.21083,0.17483,0.77866,0.96021,0.87654,0.9399,0.77855,0.67336,0.41996,1.04969,0.0006733,0.0006733,0.0006733
68,7373.35,0.20933,0.17089,0.77842,0.93865,0.88881,0.938,0.78259,0.66967,0.42361,1.04276,0.00066835,0.00066835,0.00066835
69,7483.1,0.2046,0.16863,0.77767,0.93983,0.86684,0.92852,0.76848,0.67515,0.43065,1.06312,0.0006634,0.0006634,0.0006634
70,7591.58,0.20206,0.16613,0.77629,0.94306,0.86916,0.93301,0.76509,0.67369,0.43224,1.0652,0.00065845,0.00065845,0.00065845
71,7698.99,0.2056,0.16979,0.77734,0.94188,0.88403,0.92891,0.76867,0.67713,0.43311,1.05995,0.0006535,0.0006535,0.0006535
72,7805.7,0.19819,0.1646,0.77727,0.95982,0.86394,0.93319,0.77354,0.6715,0.41823,1.05024,0.00064855,0.00064855,0.00064855
73,7912.81,0.19398,0.16023,0.77516,0.94925,0.88019,0.94054,0.78058,0.66631,0.42947,1.04735,0.0006436,0.0006436,0.0006436
74,8019.42,0.19593,0.16315,0.77579,0.92706,0.88456,0.93053,0.76332,0.68193,0.42969,1.07078,0.00063865,0.00063865,0.00063865
75,8127.12,0.19291,0.16275,0.77509,0.96276,0.87528,0.93348,0.77246,0.67448,0.43857,1.05561,0.0006337,0.0006337,0.0006337
76,8236.24,0.19034,0.15823,0.7747,0.95366,0.86856,0.9368,0.78204,0.66757,0.42193,1.06127,0.00062875,0.00062875,0.00062875
77,8343.38,0.1848,0.15527,0.7744,0.94653,0.86341,0.9331,0.77564,0.65609,0.4307,1.03798,0.0006238,0.0006238,0.0006238
78,8448.83,0.18478,0.15457,0.77326,0.95454,0.87269,0.93731,0.78312,0.64631,0.41073,1.03667,0.00061885,0.00061885,0.00061885
79,8557.42,0.18148,0.15282,0.77317,0.94895,0.87374,0.93669,0.78858,0.64579,0.41622,1.03675,0.0006139,0.0006139,0.0006139
